model,attack,experiment,cos_threshold,top10_threshold,aasr,n_samples
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.1,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.2,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.3,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.4,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.5,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.6,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.7,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.8,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,0.9,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.0,1.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.1,0.24,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.2,0.25,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.3,0.26,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.4,0.26,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.5,0.26,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.6,0.27,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.7,0.28,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.8,0.28,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,0.9,0.28,100
AST,Psychoacoustic,AST | Psychoacoustic,0.1,1.0,0.28,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.1,0.65,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.2,0.72,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.3,0.74,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.4,0.75,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.5,0.75,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.6,0.76,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.7,0.77,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.8,0.77,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,0.9,0.77,100
AST,Psychoacoustic,AST | Psychoacoustic,0.2,1.0,0.77,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.1,0.77,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.2,0.88,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.3,0.9,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.4,0.92,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.5,0.92,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.6,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.7,0.94,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.8,0.94,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,0.9,0.94,100
AST,Psychoacoustic,AST | Psychoacoustic,0.3,1.0,0.94,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.4,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.5,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.6,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.7,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.8,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,0.9,1.0,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.0,0.0,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.1,0.79,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.2,0.91,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.3,0.93,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.4,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.5,0.95,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.6,0.96,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.7,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.8,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,0.9,0.97,100
AST,Psychoacoustic,AST | Psychoacoustic,1.0,1.0,0.97,100
AST,X-Shift,AST | X-Shift,0.0,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.2,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.3,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.4,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.5,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.6,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.7,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.8,0.0,100
AST,X-Shift,AST | X-Shift,0.0,0.9,0.0,100
AST,X-Shift,AST | X-Shift,0.0,1.0,0.0,100
AST,X-Shift,AST | X-Shift,0.1,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.1,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.1,0.2,0.17,100
AST,X-Shift,AST | X-Shift,0.1,0.3,0.2,100
AST,X-Shift,AST | X-Shift,0.1,0.4,0.22,100
AST,X-Shift,AST | X-Shift,0.1,0.5,0.22,100
AST,X-Shift,AST | X-Shift,0.1,0.6,0.23,100
AST,X-Shift,AST | X-Shift,0.1,0.7,0.23,100
AST,X-Shift,AST | X-Shift,0.1,0.8,0.23,100
AST,X-Shift,AST | X-Shift,0.1,0.9,0.23,100
AST,X-Shift,AST | X-Shift,0.1,1.0,0.23,100
AST,X-Shift,AST | X-Shift,0.2,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.2,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.2,0.2,0.3,100
