stem,n_cases,n_models,n_attacks,afs_stable_mean,afs_stable_median,afs_stable_max,afs_stable_min,afs_quality_mean,afs_simple_mean,pred_preserved_rate,attribution_change_mean,attribution_change_median,cos_sim_median,top10_overlap_median,quality_score_mean,quality_score_median,margin_adv_mean,margin_adv_median,margin_drop_mean,abs_score_shift_mean,abs_score_shift_median,label_str,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,best_case_afs_stable,best_model,best_attack,worst_case_afs_stable,worst_model,worst_attack
fake_46348_udio_1,9,3,3,0.4366714684239394,0.3798901122221262,0.8300183069189131,0.245138361955028,0.4656678049533302,0.8131756666666666,0.8888888888888888,0.8131756666666666,0.8756835000000001,0.1416215,0.06296449999999999,0.6034689961904761,0.5375231342857143,0.4777771111111111,0.498652,0.009201555555555565,0.13562177777777776,0.0143179999999999,fake,2.235187,0.927109,3.947684,-3.983057,3.369332,0.8300183069189131,VGG,Attack_1,0.245138361955028,SPECTR,Attack_1
fake_46574_suno_1,9,3,3,0.6735225601023371,0.683748561676646,0.8770039843473904,0.3697109326484659,0.6805055745383286,0.7404575833333333,1.0,0.7404575833333333,0.787433,0.1560925,0.09489650000000001,0.9375831753968255,0.9360991385714286,0.4880801111111111,0.4998629999999999,0.003001888888888901,0.007001222222222205,8.000000000008001e-05,fake,4.353907,0.997846,4.90625,-0.710294,4.766504,0.8770039843473904,AST,Attack_1,0.3697109326484659,SPECTR,Attack_1
fake_46798_udio_1,9,3,3,0.38603056460973134,0.34130230042050075,0.6990099999999999,0.217545222594276,0.41927131759488584,0.7925851666666667,0.8888888888888888,0.7925851666666667,0.80441525,0.177989,0.036457500000000004,0.5789886846031745,0.5461384328571428,0.40647955555555554,0.455921,0.06834877777777776,0.09941588888888889,0.030017,fake,2.821469,0.895609,3.515199,-3.984473,3.260118,0.6990099999999999,VGG,Attack_1,0.217545222594276,SPECTR,Attack_1
fake_48933_suno_1,9,3,3,0.5090663153321344,0.555029968726488,0.6275409999999999,0.3298150383364312,0.5493324686838719,0.7801605,1.0,0.7801605,0.802663,0.165805,0.057677,0.7468956004761904,0.7034364228571428,0.44223955555555555,0.499761,-0.009913555555555526,0.034780888888888875,0.000136,fake,3.400012,0.941726,4.080429,-2.155329,3.303457,0.6275409999999999,VGG,Attack_1,0.3298150383364312,SPECTR,Attack_2
fake_49262_suno_1,9,3,3,0.5725441951681026,0.5671967832162268,0.73112952125952,0.4079827043190577,0.5795210282043644,0.8161445,1.0,0.8161445,0.8276835,0.09864999999999999,0.035006999999999996,0.7501631487301588,0.7284861457142858,0.4908594444444444,0.499476,-0.00070811111111111,0.0035989999999999542,0.0003459999999999,fake,3.613609,0.92721,4.055413,-1.729391,3.482365,0.73112952125952,VGG,Attack_1,0.4079827043190577,SPECTR,Attack_1
fake_49482_udio_1,9,3,3,0.3905208562999154,0.36916782720348423,0.6870855,0.1598499241764862,0.4349596585871576,0.7612408333333334,1.0,0.7612408333333334,0.743966,0.19675700000000002,0.1166535,0.5973792960317461,0.5257128428571429,0.45922511111111114,0.4993539999999999,0.03396122222222219,0.03573477777777774,0.0005089999999999,fake,2.098418,0.950485,3.487176,-3.547694,2.951764,0.6870855,VGG,Attack_1,0.1598499241764862,AST,Attack_1
fake_50028_suno_1,9,3,3,0.4602256824739206,0.43544513074772934,0.6777071324750613,0.3033912257380239,0.5081820598206571,0.8065462499999999,1.0,0.8065462499999999,0.812472,0.14043,0.052201,0.6649049136507936,0.6488851042857144,0.45704211111111115,0.4999019999999999,-0.04087711111111109,0.0908151111111111,8.599999999991947e-05,fake,2.770736,0.989402,3.941584,-2.442881,3.104196,0.6777071324750613,VGG,Attack_1,0.3033912257380239,AST,Attack_1
fake_50637_suno_0,9,3,3,0.4445662988553008,0.4851227522421007,0.6443946465654845,0.1169581926383117,0.5501278483890731,0.7535828333333333,1.0,0.7535828333333333,0.7856065,0.10686899999999999,0.105877,0.7858502871428572,0.7758383714285715,0.4492923333333333,0.4999209999999999,0.04619366666666667,0.04730499999999999,2.8000000000028e-05,fake,3.787417,0.946812,4.376525,-1.819104,3.87579,0.6443946465654845,AST,Attack_2,0.1169581926383117,AST,Attack_1
fake_51339_udio_0,9,3,3,0.42329017050007406,0.462042021061419,0.7433718826325063,0.0,0.42774505158754367,0.62134275,0.8888888888888888,0.76601,0.811515,0.24359150000000002,0.09902150000000001,0.7102487916666667,0.636026425,0.45062722222222223,0.487846,0.04021244444444443,0.07324377777777775,0.002915,fake,,0.986256,4.245253,-3.845483,3.491046,0.7433718826325063,VGG,Attack_1,0.0,AST,Attack_1
fake_51789_suno_0,9,3,3,0.36472979937993477,0.4079955573970674,0.59341779836232,0.0848320303525212,0.4715218526884232,0.8038620833333333,0.8888888888888888,0.8038620833333333,0.82792775,0.127104,0.035428,0.6371973822222222,0.650723762857143,0.4172482222222222,0.492935,0.07864944444444447,0.17556699999999997,0.0006739999999999,fake,2.737935,0.95674,3.964378,-2.575232,3.318254,0.59341779836232,VGG,Attack_1,0.0848320303525212,AST,Attack_1
